"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MTNR1A",24.6575836131344,-1.43204560119999,0.871107911064512,4.43293220649224,0.350574223666445,NA
"PLEKHG4B",35.0348505351037,0.318628993616018,0.443027426925489,0.985769610648845,0.91194605009222,NA
"PDCD6-DT",11.0785907673573,0.122107356057114,1.01188264274442,2.23015502991993,0.693512473537162,NA
"EXOC3-AS1",171.177826130783,-0.154195384875648,0.282052269327292,1.65068890531626,0.799654321955796,NA
"ZDHHC11B",113.880285178595,-0.484393813495139,0.345284755293287,5.30358806184688,0.257541226504942,NA
"ZDHHC11",207.677955580157,0.27429757718868,0.265556980240585,4.26527415675895,0.371293690295612,NA
"SLC12A7",207.193528508382,-0.352424057827356,0.211821516213065,12.9158385961721,0.0116944274467684,NA
"TERT",206.482841671088,-0.101231737496208,0.257315814402237,3.90109982543686,0.419555966890067,NA
"IRX4",2.23180189117871,-0.855073334083751,2.49861528170713,1.66021992841169,0.79793039517515,NA
"ADAMTS16",1.73702152942434,2.65039044079249,2.68165550222414,6.63133867583787,0.156700818458107,NA
"LINC02145",1.77570841096192,2.33595953444281,3.06549935872208,1.05389249365166,0.901516960361287,NA
"UBE2QL1",109.493905067029,-0.193617627546651,0.2811291849419,4.22661452468245,0.376204773756696,NA
"LINC02102",10.233234126703,0.203929050397895,0.890977338748086,3.67197011829782,0.452215827440761,NA
"CFAP90",5.76770017461326,0.387515645838304,1.53729242818979,0.244334762050187,0.993118383415591,NA
"MIR4458HG",61.3464311541798,-0.449797994921755,0.44277623464811,1.25016660639002,0.869771952530003,NA
"ROPN1L-AS1",1.32199431826405,-0.506013200931794,3.18311645856631,4.42133115456907,0.351977749620573,NA
"ROPN1L",16.9065335042633,-0.10805046309727,0.771502695612396,0.143423221924138,0.997548405946701,NA
"CTNND2",5.38483842827692,-0.611878650008631,1.6611572994697,0.980265196339786,0.91277352035048,NA
"DNAH5",9.75694958385817,0.799426891843844,1.17917718969378,2.21328729360638,0.696597399267992,NA
"LOC100130744",109.936578962995,-0.106680833184422,0.255603654704078,5.01046880432753,0.286225016248374,NA
"FBXL7",161.33036937566,-0.115568823296047,0.23165914914346,6.37063274686716,0.173126268437568,NA
"RETREG1-AS1",6.39114781778543,-1.68885831055799,1.21441815271434,3.59889009052432,0.463002027504775,NA
"CDH18",12.9636495879556,-0.0885804450394989,0.858528454503695,1.41272018867858,0.841981200391688,NA
"PRDM9",7.3305437314791,-0.595555185909849,1.25079963826375,2.38268414072587,0.665758759713128,NA
"CDH10",26.862289349393,0.249847374784342,0.636945313417189,4.22299637131195,0.376666972597617,NA
"LINC02211",5.31461039276124,-0.460582035041868,1.31594863172271,1.63743073090424,0.802049496451617,NA
"PURPL",134.956337981927,0.322913716000444,0.248156005834285,6.73079660394805,0.150816883847061,NA
"LSP1P3",1.25151215592572,-0.728526539789071,3.51574102023618,4.77795705533056,0.310848392075125,NA
"PDZD2",164.70602277781,-0.220729874043069,0.247311104486526,4.26381569336615,0.371478053425155,NA
"NPR3",6.79761062898104,-2.50730653078109,1.69499756592227,6.04943293667876,0.195486881795442,NA
"ADAMTS12",8.89363894372487,-1.84987701878115,0.991461124981724,4.28673644596071,0.368588912034198,NA
"SLC45A2",2.26205173283024,0.440229582046015,2.87283181444896,1.29154447223273,0.862808495913649,NA
"AMACR",52.7323408695468,-0.207980966344167,0.541642120966013,0.378254165251349,0.984218268753081,NA
