"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCNG1",5588.42818259517,-0.51265190902467,0.111698425323026,398.687939163162,5.34306287224456e-85,3.35315359968148e-82
"GNB1",8654.73495122639,-0.339109557569989,0.0873303638236912,389.179384200685,6.05503208248464e-83,3.62723944613932e-80
"PSAT1",9756.37417524822,-0.876643270910719,0.0721179150414051,380.169162881191,5.35230471884275e-81,3.06687060389689e-78
"GOLPH3L",4360.86536801313,0.74174906608726,0.0688630434630351,380.02774889837,5.7423248234328e-81,3.15325411866754e-78
"CDC6",11199.4529973069,0.691949045919149,0.0706227829070226,372.796822142425,2.09394148153413e-79,1.10384219140553e-76
"MGAT2",5137.83514441601,0.766567225656108,0.0628876707164944,364.767129533546,1.13549347415514e-77,5.75564172918871e-75
"UGDH",3659.85596116801,1.01659342718529,0.0854837421473308,361.990773198677,4.51609146490081e-77,2.20435442281214e-74
"SSR2",14719.6092724397,0.653719814281127,0.0680327350357608,352.83569502084,4.28252219953585e-75,2.01569143098868e-72
"CAPN2",4634.99919600274,-0.289572905964606,0.0854055391982533,351.651299716764,7.71677348438101e-75,3.48520916767397e-72
"LDLR",1997.279801516,-1.33090732501399,0.117459316535261,351.595575645065,7.93355148571356e-75,3.48520916767397e-72
"MPHOSPH10",5759.90077094303,0.735397877185332,0.0751337618464398,345.267827438742,1.843649825813e-73,7.8378906627063e-71
"FUCA2",3525.68508954385,-0.420345173165303,0.0679369766678363,342.510519429536,7.26036075649311e-73,2.99013420030696e-70
"ZNF239",1502.70664805711,0.706562522361156,0.089998673623873,342.194003579687,8.49746837128922e-73,3.39357986864305e-70
"PHGDH",10701.0147687793,-0.700949154828493,0.101170763835878,342.054100594043,9.10945809764358e-73,3.53098671378955e-70
"BCCIP",4172.60826093846,-0.288018554508115,0.0840309883481166,338.940801619744,4.28143213696399e-72,1.61214268951567e-69
"PHF23",5381.19378691189,0.512033486001406,0.0641738978874415,337.649937091107,8.13297235348958e-72,2.97734562907331e-69
"RCN2",3423.1465753072,-0.504675544156165,0.0933467380385072,334.942749580185,3.12343283717137e-71,1.11253300975896e-68
"WFS1",3108.67418271321,0.898691559372733,0.0869151073292557,333.739768190702,5.67940621194412e-71,1.96970774913715e-68
"HADHA",7573.01889601185,-0.547866465159801,0.0602343816909079,329.159058823326,5.53382200840399e-70,1.87000616022452e-67
"MCM4",11647.0263077998,-0.0737178646480392,0.110849952181982,325.905998564667,2.78696149162769e-69,9.18234137454033e-67
"SSR3",12271.3216533618,1.03283768934366,0.0832560510866796,319.47863021674,6.79546248025266e-68,2.18432682993292e-65
"PKM",39839.6823279049,-0.470621051989686,0.0909861085816756,318.055620634197,1.3781451875584e-67,4.32442272067433e-65
"ERLEC1",3928.44122024348,0.947991162277612,0.0824194683098062,317.415011344882,1.89466039397577e-67,5.80691379818759e-65
"FDFT1",3902.00218693435,-0.460075913453106,0.0910229185502932,316.928757202139,2.41245088424007e-67,7.22583868259088e-65
"PLS3",38769.1150079316,-0.36338809605038,0.0641393742446687,314.982194625871,6.34585815497868e-67,1.85849032498809e-64
"SRPRB",8513.03840338013,0.782076918812967,0.074565092331344,314.52177353618,7.97697539085698e-67,2.28540344948053e-64
"AP2M1",10502.6486146995,-0.541228792051472,0.0847969520553977,313.821990885792,1.12936129700087e-66,3.16677713471799e-64
"NIP7",6881.59068430567,0.601872516294529,0.0743477796731297,310.737405010018,5.22853084179454e-66,1.43555849925021e-63
"LCMT2",2391.79861415565,0.51969077720173,0.0791342493147353,310.552308470469,5.73212641561612e-66,1.54170804145724e-63
"ZNF503",21869.8519669732,0.0937212233862425,0.0570646355037314,309.411230228318,1.01043716346232e-65,2.66331027545398e-63
"TWNK",5990.67246133341,0.57595827391122,0.0627196757978305,309.195536295525,1.1247234294776e-65,2.90641766217359e-63
"H1-0",15439.5824523774,0.577877406786635,0.0718689346992628,308.966542978408,1.26023435839488e-65,3.19396704024732e-63
"PARS2",1793.35845584943,0.556957494183905,0.0937806986180018,303.29877732222,2.10475907066255e-64,5.23370184759657e-62
"GORASP2",10079.707159949,0.612613940939601,0.0629993946347688,302.395297361106,3.29688231042809e-64,8.04622443872812e-62
"HNRNPR",14068.2228881867,-0.325859022569247,0.0609545459266276,299.421816154373,1.44385449070009e-63,3.45973787871573e-61
"OBI1",3827.62518470646,0.601599983112208,0.0685488364014873,299.336731697502,1.50617929899966e-63,3.54463160384223e-61
"ALDOA",18563.0341780879,-0.450582523902472,0.150235788663409,297.511861331721,3.72824283465946e-63,8.62008988034684e-61
"GNAS",19701.4310637288,-0.4874837574549,0.115404356624726,297.22606418537,4.296844605296e-63,9.76346811262001e-61
"MAP2K2",3338.2109758222,-0.661120606129003,0.104673048990731,296.493812320428,6.18147379518721e-63,1.38077361265716e-60
"SMG8",5707.10274473834,0.647849767649402,0.0672683011763803,295.677745226307,9.27064145850009e-63,2.03629639635955e-60
"UMPS",7538.05939316219,0.52830804173021,0.0624982178674931,295.281976313557,1.12842350677669e-62,2.43794973701803e-60
"PRPS1",4745.45700619905,-0.0264531884036351,0.110301656899192,293.944969937559,2.19200607595306e-62,4.6594271088686e-60
"RHOB",11606.4245033801,0.359959525942974,0.084418626306842,293.42501761763,2.83781625872375e-62,5.93644134503498e-60
"WLS",2279.65783550424,-0.369596096420069,0.10591897845056,291.530809255177,7.26963848355578e-62,1.49282899584816e-59
"TCOF1",8315.80768247543,-0.098541078920046,0.103439288073539,291.505176541011,7.36276536384631e-62,1.49282899584816e-59
"ID3",5056.33477366691,-0.746777633349826,0.0784906177558839,290.452770897022,1.24167494490862e-61,2.47939910590161e-59
"RNF4",5312.65227265524,0.455342011916976,0.0764127054548943,288.370846107027,3.49131803117277e-61,6.86747467654118e-59
"YWHAQ",8062.89036366867,-0.333270569338393,0.128881108826121,287.233153988242,6.1423021938198e-61,1.19043236194634e-58
"SLC25A3",5626.0982864432,-0.198163932835562,0.134260370159588,285.199067039802,1.68640740081121e-60,3.22103813554941e-58
"PRKCSH",5454.94248888435,-0.502873739924459,0.107466088963305,285.000237388969,1.86138856122496e-60,3.50446283548339e-58
"CCDC174",1540.62557818133,0.785548853850122,0.08763655553466,283.980775420129,3.08791244595893e-60,5.73177438384405e-58
"COL4A2",1729.17293630554,-0.711030419492106,0.116631427533288,283.120475747109,4.73334593564115e-60,8.6639952896965e-58
"MCL1",21721.4352580116,0.415996809624654,0.0553306805584612,279.34973226606,3.07746334182867e-59,5.55587525780274e-57
"RPUSD2",2070.93976476876,0.723070602018633,0.104721749256119,278.560342327027,4.55393169470653e-59,8.11030618980234e-57
"GOLM1",3925.41301006672,-0.215351080087691,0.119531010795212,276.372104685538,1.34944661699905e-58,2.37124759539073e-56
"NUP62",10834.2328859037,0.300555206535596,0.0532397769932062,276.199648001824,1.47006001487231e-58,2.54920012315818e-56
"PLPP5",1082.08639629457,1.19913909607729,0.129412606064279,274.553781889271,3.32777056591549e-58,5.69567380366237e-56
"PELO",3955.56369435886,0.614120153041675,0.0814930605682184,272.45542106864,9.42972115347999e-58,1.59326019335529e-55
"CDR2",4238.84500404452,0.680168522478196,0.0825282867123884,268.88795899286,5.539636714514e-57,9.24137623551646e-55
"TRMT10C",6379.90650443956,0.752094565757671,0.0914072238381598,267.207925968724,1.2752459765136e-56,2.1008083405591e-54
"SERP1",11308.6301264565,0.699375801056404,0.0704456318212251,267.056216131998,1.3749677836605e-56,2.23712350874835e-54
"NUCB2",3957.97371991591,0.690023596510284,0.0683479373574466,266.121517531639,2.18649446988359e-56,3.51412324617023e-54
"LDHA",47704.705323607,-0.442728660956184,0.0589937143617522,264.759322814913,4.29866048415405e-56,6.76167406749494e-54
"SRPRA",9748.43064285096,0.600547001273103,0.0604844747389575,264.754135733237,4.30973990188614e-56,6.76167406749494e-54
"ZC3H8",1417.65880526575,0.98324394761135,0.0984317652746078,262.155877154164,1.56460552215646e-55,2.42587484429411e-53
"CALM3",20669.3398395462,-0.582131473921806,0.0704400636812524,261.705617790467,1.95630489397291e-55,2.99792351135686e-53
"KBTBD8",1966.01766641611,0.538521557951581,0.0850877123988876,261.513414169125,2.152069901536e-55,3.26001485429229e-53
"ZBED5",4118.15662603468,0.428831292984754,0.0707804048297252,261.264218672349,2.43532875451931e-55,3.64718155179658e-53
"DHCR24",14394.7218980792,-0.600625832268695,0.0697431092090917,259.628170208903,5.48420491914435e-55,8.12093669993296e-53
"COLGALT1",4153.08605613678,-0.141763514149028,0.0818077142634536,258.705449471702,8.66853169874557e-55,1.26936199175298e-52
"UQCRC2",6992.97380029628,-0.433478544559448,0.0625629746198455,258.491120079192,9.64116225417809e-55,1.39627337744849e-52
"TXNDC11",3064.03299519369,0.562293346093742,0.0733996186950711,257.892454010119,1.29756410719468e-54,1.85876058355639e-52
"DDX28",2454.63377088992,0.787712647816039,0.109837887170673,255.629684392179,3.98735804334379e-54,5.65047222077718e-52
"CRTAP",5610.84026727166,-0.509631046784587,0.0666645107077324,254.942449373105,5.60733342928698e-54,7.86160077282693e-52
"ZSWIM3",793.11625657796,0.986418099534139,0.126075012814017,253.977123954146,9.0518933427857e-54,1.25573581436392e-51
"THAP5",3708.3954550437,0.579777914880488,0.0839433553864328,252.603256685537,1.78950828818595e-53,2.45665934687527e-51
"PGM3",4488.71156545482,0.881970318239682,0.0812340646266447,252.502631450687,1.88110279586134e-53,2.55577873676873e-51
"MAD2L1BP",2668.59864244117,0.630519186185291,0.0843050908960104,250.956582484982,4.0502935861668e-53,5.44681828286655e-51
"ZBTB8A",2072.96043948508,0.644696434451389,0.0924477104922716,250.564805462605,4.91911131867916e-53,6.50172982948935e-51
"SOX4",11592.1131643058,-0.547318387749576,0.0687919247947668,250.558957512482,4.93340149441486e-53,6.50172982948935e-51
"RIOK2",4100.22941913947,0.954422084087844,0.104668769951675,250.166238388128,5.99443836522317e-53,7.82185180349269e-51
"ZNF574",3040.62805971963,0.46590770931933,0.0994767038528682,249.66600215029,7.68264964174724e-53,9.9264352577046e-51
"ERGIC1",2292.20135242627,-0.235326188774798,0.148257090350556,246.51936191015,3.65873499426916e-52,4.68140470771585e-50
"ENO1",67177.4097368012,-0.409539534777226,0.0869044023193843,245.741127508498,5.38220564406147e-52,6.82039309452751e-50
"CTSB",2076.59066768243,-0.474435209006796,0.103850663921374,243.425009227824,1.69753871524193e-51,2.13065359315937e-49
"PLD3",2481.28257522987,-0.818063298078721,0.0988272710351547,243.177404003007,1.91932316779354e-51,2.38629811588218e-49
"SNIP1",2168.74181770597,0.667112393588624,0.0856320152853179,242.431476453815,2.77843923826762e-51,3.4221542730027e-49
"APLP2",26466.3456355949,-0.549773364827949,0.0635839604277442,242.380998370201,2.84886837274165e-51,3.47641076707058e-49
