"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",110,0.443763327465267,2.00302329249117,9.91595525738666e-06,0.000180728652022602,0.000141056508895689,1281,"tags=25%, list=9%, signal=23%","ATF4/CEBPB/CHAC1/STC2/DDIT4/HERPUD1/ATF3/ASNS/CEBPG/MTHFD2/HSP90B1/VEGFA/EDEM1/SEC31A/XBP1/PSAT1/PDIA5/EIF4A2/WIPI1/SLC1A4/KDELR3/EIF2AK3/IFIT1/CKS1B/EIF4EBP1/TARS1/IARS1/HSPA5"
"KEGG_PARKINSONS_DISEASE","KEGG_PARKINSONS_DISEASE",112,-0.436563779320199,-1.9329847821216,1.05792381671767e-05,0.000180728652022602,0.000141056508895689,3089,"tags=45%, list=22%, signal=35%","UQCR10/NDUFA1/NDUFB8/UBE2G2/NDUFAB1/ATP5F1D/NDUFA3/ATP5PO/UQCR11/ATP5PF/VDAC2/PARK7/NDUFA6/UQCRFS1/NDUFB9/SLC25A4/NDUFA4/MT-ND4L/NDUFB6/NDUFS3/NDUFS6/NDUFB10/NDUFS8/ATP5MC3/UCHL1/COX5A/COX7C/CYCS/COX6A1/ATP5PD/SDHA/ATP5MC1/HTRA2/NDUFB1/MT-ND6/NDUFS5/MT-ND1/NDUFB4/NDUFB7/UQCRQ/MT-ND3/MT-ND2/COX6B1/ATP5F1A/NDUFB2/NDUFA2/NDUFC2/VDAC3/UBB/NDUFA8"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",130,0.409310145055547,1.87016803091503,2.2362211400048e-05,0.000327446666929275,0.000255568130286263,2648,"tags=37%, list=19%, signal=30%","PMAIP1/ATF3/CTH/DDIT3/JUN/TNFRSF12A/BNIP3L/SAT1/CAV1/TSPO/H1-0/ANKH/BCL10/CDKN1B/GADD45B/BTG3/DFFA/PLAT/PDCD4/BRCA1/GADD45A/HMGB2/HMOX1/CLU/WEE1/GSR/RHOB/ISG20/LUM/CASP6/LGALS3/IGF2R/PLCB2/BCL2L2/TGFBR3/GSN/ROCK1/CASP3/FEZ1/EMP1/BMP2/CYLD/DAP3/CDK2/CASP9/KRT18/XIAP/ERBB2"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.358775093745982,-1.74311847566624,2.1679880666005e-05,0.000327446666929275,0.000255568130286263,2982,"tags=34%, list=21%, signal=28%","PRPS1/MYBL2/LMNB1/KIF4A/TFRC/PPP1R8/MCM4/CDK4/SPAG5/POLE/TIMELESS/NOP56/MCM5/XRCC6/UNG/SUV39H1/RPA3/CCNB2/LIG1/BIRC5/NOLC1/MCM7/SHMT1/ORC2/PA2G4/SYNCRIP/DONSON/TRA2B/RAD51C/ASF1B/PHF5A/HNRNPD/TCF19/POLD2/RPA2/CDKN3/MCM3/POP7/RAN/UBE2S/KIF18B/BRMS1L/SNRPB/NUP153/ASF1A/H2AZ1/KPNA2/UBR7/EIF2S1/CDK1/ING3/TK1/JPT1/GINS1/NME1/TMPO/POLA2/POLE4/AK2/H2AX/CDCA3/PCNA/DCTPP1/SRSF1/CDC25A/ZW10/SRSF2/DDX39A/CDKN1A"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",199,-0.361156047641882,-1.7474128748667,2.60255267595677e-05,0.000355682199047425,0.000277605618768722,2954,"tags=36%, list=21%, signal=29%","MYBL2/PRC1/LMNB1/KIF4A/NUSAP1/RAD23B/CDK4/POLE/UBE2C/HNRNPU/KIF23/NUP98/PRP4K/TPX2/MCM5/CUL5/SUV39H1/CCNB2/SNRPD1/MAP3K20/BIRC5/CUL4A/HIF1A/CCNF/NOLC1/UPF1/PAFAH1B1/SYNCRIP/G3BP1/TRA2B/TRAIP/HNRNPD/KNL1/CDC27/RPA2/HOXC10/AMD1/CDKN3/MCM3/ORC5/SFPQ/KPNB1/UBE2S/H2AZ1/KPNA2/CDK1/BUB3/TFDP1/NUMA1/CHMP1A/JPT1/CCNA2/HMGN2/DTYMK/TMPO/POLA2/GINS2/H2AX/CCND1/ODC1/NUP50/MARCKS/SRSF1/DR1/CDC25A/RBM14/ATF5/H2BC12/HSPA8/SRSF2/DDX39A"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",135,0.387753228872133,1.77901609132309,3.74061854854856e-05,0.000479266751532785,0.000374061854854856,3627,"tags=42%, list=26%, signal=32%","MYC/DUSP1/CITED2/INSIG1/VLDLR/CAV1/BHLHE40/HAS2/SLC7A1/FYN/ICA1/IGF1R/PHF3/SNAI2/CDKN1B/GRK5/ABCC1/CDC42BPA/ANXA2/SYNJ2/PIK3CD/RGS4/COL11A1/TFPI/PTPRM/DAB2/PLCB4/SYNE1/EFEMP1/MTA1/TGFBR3/DLG1/PRKAR2B/DLC1/SRI/APBB2/NR1D2/CAP2/CCN1/ERBB2/FZD2/LDLR/PTEN/SCHIP1/CDON/RBPMS/AKT3/TENT4A/ATRX/ATRN/NIPBL/ID1/MAGI2/ADD3/RND3/LAMC1/PRKCA"
"KEGG_RIBOSOME","KEGG_RIBOSOME",84,-0.463384008953032,-1.96101321171327,3.98184399992938e-05,0.000480163541167955,0.000374761788228648,5162,"tags=73%, list=37%, signal=46%","RPL13/RPLP1/RPS27A/RPL23/RPL35A/RPS18/RPL10A/RPS15A/RPS10/RPS16/RPS7/RPL7A/RPS3A/RPL23A/RPL17/RPS29/RPS21/RPLP0/RPS13/RPS25/RPL27A/RPL6/RPS9/RPL10/RPL7/RPSA/RPL8/RPS20/RPS12/RPLP2/RPL30/RPL19/RPL37A/RPL29/RPS23/RPL38/RPS11/RPL14/RPS3/RPL24/RPL26/RPL28/RPS27/RPL31/RPL15/RPS4X/RPS24/RPL26L1/UBA52/RPL36/RPS5/RPS26/RPL32/RPL22L1/RPL35/RPL18A/RPS19/RPS15/FAU/RPS27L/MRPL13"
"KEGG_HUNTINGTONS_DISEASE","KEGG_HUNTINGTONS_DISEASE",158,-0.374444141953239,-1.7715702664106,6.30839897914967e-05,0.000718456550403157,0.000560746575924415,3089,"tags=40%, list=22%, signal=31%","UQCR10/NDUFA1/NDUFB8/NDUFAB1/TBP/HDAC1/PPARG/ATP5F1D/NDUFA3/ATP5PO/UQCR11/POLR2H/POLR2G/CLTC/ATP5PF/VDAC2/NDUFA6/UQCRFS1/DCTN4/NDUFB9/POLR2J/SLC25A4/NDUFA4/NDUFB6/NDUFS3/POLR2D/NDUFS6/NDUFB10/NDUFS8/ATP5MC3/COX5A/COX7C/CYCS/COX6A1/CREB3/ATP5PD/AP2M1/SDHA/ATP5MC1/AP2A2/NDUFB1/NDUFS5/POLR2E/TFAM/NDUFB4/SOD1/GPX1/NDUFB7/DCTN1/UQCRQ/COX6B1/ATP5F1A/POLR2A/NDUFB2/POLR2L/NDUFA2/CLTA/BAX/NDUFC2/VDAC3/POLR2C/NDUFA8/POLR2K"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",175,0.360781398191351,1.72025188650844,8.2689995229207e-05,0.000892181527473023,0.000696336801930164,1903,"tags=21%, list=14%, signal=19%","STC2/DDIT4/CTH/STC1/PLOD1/CITED2/GLRX/VLDLR/VEGFA/ANG/ZNF292/P4HA1/FUT8/MXI1/B4GALT1/ANKZF1/EGFR/KIF2A/KDELR3/CENPA/FAM162A/TALDO1/NOL3/GCLC/MERTK/GAL3ST1/HSPA5/ISG20/PLOD2/AKR1A1/PGM2/CASP6/AK3/GALK2/P4HA2/KIF20A/DEPDC1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",142,0.371830285020752,1.72326520136066,0.000112478292656086,0.00115290249972488,0.000899826341248688,2532,"tags=31%, list=18%, signal=26%","JUN/PLOD1/EMP3/DST/TNFRSF12A/SAT1/VEGFA/GEM/SNAI2/TNFAIP3/GADD45B/PDLIM4/CALD1/GADD45A/TGM2/BASP1/ID2/PCOLCE/IGFBP2/VEGFC/SPARC/PLAUR/OXTR/VIM/RHOB/RGS4/SDC4/LUM/ITGA2/DKK1/PLOD2/COL11A1/DAB2/FBN2/MYLK/APLP1/TGFBR3/SGCB/MSX1/CAP2/CCN1/LRP1/THBS1/CCN2"
