"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.331007047799535,-1.58705439897216,7.96663415363375e-05,0.00108877333432995,0.000883318032473076,1892,"tags=29%, list=13%, signal=25%","SNRPD1/RNPS1/RANBP1/HDAC2/PABPC1/YWHAE/HNRNPU/SYNCRIP/KPNA2/CCT3/UBE2E1/PPIA/XPO1/SF3A1/FBL/CCT5/VDAC3/MCM7/PA2G4/MCM2/UBA2/TCP1/PSMA4/CCT2/MCM4/PRPS2/SMARCC1/SERBP1/HSP90AB1/NPM1/SF3B3/CDK4/EIF1AX/RRP9/HNRNPD/PCNA/MCM5/DUT/HPRT1/CNBP/HDGF/H2AZ1/TYMS/RAN/SRSF3/SRSF1/SRSF7/CTPS1/AIMP2/CCNA2/SRSF2/KPNB1/DEK/TRIM28/TFDP1/IMPDH2/NOP56/SET"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,-0.499785306598282,-2.01423925377839,8.49833093507837e-05,0.00108884865105692,0.00088337913667262,1917,"tags=48%, list=14%, signal=42%","RCL1/MAP3K6/DUSP2/MYBBP1A/WDR43/NOP2/NIP7/EXOSC5/TCOF1/PA2G4/NOC4L/MPHOSPH10/MCM4/SLC19A1/UTP20/NPM1/CDK4/RRP9/PUS1/MCM5/PPRC1/IPO4/NDUFAF4/PLK1/AIMP2/DCTPP1/UNG/NOP56"
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",40,0.666085867014738,1.9613699654735,0.000124727683391513,0.0015040691232506,0.00122024606661666,2863,"tags=50%, list=20%, signal=40%","GFPT1/PGM3/NANS/UAP1/GMPPB/GALE/HK2/GNE/GALK2/UGP2/GNPDA1/PMM2/GPI/GNPNAT1/GMPPA/HEXB/GNPDA2/PGM1/CYB5R3/PGM2"
"KEGG_LYSOSOME","KEGG_LYSOSOME",108,0.515829433068609,1.74642774812901,0.000202728290662782,0.0023088499769928,0.00187316198390173,1590,"tags=24%, list=11%, signal=22%","LIPA/PSAP/NEU1/LGMN/CD68/LAPTM4A/CD63/SLC17A5/CD164/ATP6V0D1/CLTC/AP4B1/CTSL/AP3S1/AP1G1/NPC1/AP1S2/AP3B1/CTSC/CTSD/SLC11A2/AP3D1/ASAH1/IGF2R/GGA2/LAMP3"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",142,0.467026601904037,1.61649363048396,0.000666139297456937,0.00718729241993011,0.00583102542926294,1913,"tags=27%, list=14%, signal=23%","LOX/PLOD1/EMP3/PPIB/CALD1/P3H1/TNFRSF12A/GADD45A/CALU/COPA/GJA1/FBN2/ITGAV/TIMP1/TPM4/GADD45B/CAP2/APLP1/SGCB/CCN1/DST/PLAUR/DAB2/JUN/GEM/LUM/DPYSL3/RGS4/COL11A1/SAT1/ABI3BP/PFN2/FLNA/PTHLH/FERMT2/NT5E/SPARC/QSOX1"
"KEGG_HEDGEHOG_SIGNALING_PATHWAY","KEGG_HEDGEHOG_SIGNALING_PATHWAY",36,-0.534681262571669,-1.93472545170811,0.00117269468961643,0.0106371124634165,0.00862985247352919,3257,"tags=44%, list=23%, signal=34%","PRKX/STK36/RAB23/BMP7/BMP8B/WNT10B/GSK3B/GLI3/PTCH1/PRKACA/LRP2/WNT5A/CSNK1D/CSNK1G2/GAS1/ZIC2"
"KEGG_PROTEASOME","KEGG_PROTEASOME",40,0.619066915147705,1.82291700532684,0.00109656617314212,0.0106371124634165,0.00862985247352919,2535,"tags=50%, list=18%, signal=41%","PSMC4/PSMA3/PSMD12/SEM1/PSME4/PSMA5/PSMB2/PSMD14/PSMD3/PSMB1/PSMD4/PSMC2/PSMD7/PSMD13/PSMD6/PSMB3/PSMB5/PSMD11/PSMD2/POMP"
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT","KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",35,0.616628416229729,1.78131908119125,0.00119343213004185,0.0106371124634165,0.00862985247352919,1927,"tags=37%, list=14%, signal=32%","BET1L/GOSR2/SEC22B/BET1/STX3/YKT6/STX5/VAMP7/STX16/STX12/VAMP4/VAMP2/STX11"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",126,0.474753782484192,1.62384351698004,0.00104628286783841,0.0106371124634165,0.00862985247352919,2873,"tags=33%, list=20%, signal=27%","LIPA/ANG/HSPA5/PLA2G4A/ME1/ANXA5/CEBPB/LGMN/ADAM9/DPP4/TIMP1/CDA/CTSL/CASP10/GNG2/PRCP/CLU/XPNPEP1/PLAUR/CTSC/CTSD/USP16/MAFF/GRB2/CASP7/DUSP5/ACTN2/CD55/CASP3/LGALS3/USP14/GNAI3/LYN/LRP1/TFPI2/SIRT6/APOBEC3F/PIK3CA/TNFAIP3/PIM1/PPP2CB/LAMP2"
"KEGG_DNA_REPLICATION","KEGG_DNA_REPLICATION",36,-0.53000892092918,-1.91781874685872,0.00150510597106139,0.0128561135028161,0.0104301203257763,2054,"tags=47%, list=15%, signal=40%","RPA2/RFC3/POLD1/RNASEH2C/DNA2/POLE4/MCM7/MCM2/RPA1/POLD3/MCM4/RNASEH2A/PCNA/RNASEH2B/MCM5/LIG1/POLE"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",145,0.44436520138733,1.53958837990702,0.0030098585581965,0.0246808401772113,0.020023480092423,2403,"tags=30%, list=17%, signal=25%","CKAP4/RGS16/GABARAPL1/PNP/XBP1/PLAGL1/CDC6/ITGAV/SMPDL3A/MYC/GADD45B/CCND2/SLC1A5/APLP1/HK2/SLC2A3/RABGAP1L/ALCAM/BHLHE40/F2RL2/RRAGD/P4HA1/MAFF/IGF2R/PRKCH/ABCB1/DENND5A/SPRED2/SLC39A8/CASP3/NT5E/AHNAK/SERPINB6/IKZF2/IFNGR1/NDRG1/PTRH2/SH3BGRL2/SNX9/P2RX4/NFIL3/PRNP/RNH1"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",130,0.451168454776594,1.54946404189143,0.00346824275545311,0.0265536865508755,0.0215429138641249,1734,"tags=25%, list=12%, signal=22%","LMNA/CDKN1A/TNFRSF12A/GADD45A/CASP8/BTG3/DNAJC3/CTH/DAP/BCL10/KRT18/ATF3/CAV1/TIMP1/GADD45B/CCND2/DDIT3/CLU/HSPB1/PPP2R5B/JUN/ISG20/TSPO/IGF2R/CASP7/MCL1/LUM/SAT1/RETSAT/BCL2L2/GSR/CASP3"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",132,0.444666729677408,1.53189030075071,0.00349731481401775,0.0265536865508755,0.0215429138641249,1955,"tags=23%, list=14%, signal=20%","PAPSS2/SSR3/MAN1A1/GABARAPL1/SPINT2/ACO2/DHRS7/BCAT1/LONP1/BLVRB/CDA/ENPEP/AP4B1/PROS1/SHMT2/SLC1A5/SLC46A3/NPC1/GCNT2/ARG2/ATP2A2/SLC35B1/DHRS1/RETSAT/PGRMC1/TPST1/GSR/SAR1B/TMBIM6/GCLC"
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",69,-0.386955067230259,-1.58848888715292,0.00508455597332397,0.037226213376122,0.0302014978866612,2831,"tags=42%, list=20%, signal=34%","ANAPC7/PRKX/SPDYC/MAPK8/MAPK3/CDC25A/PIK3R3/RAF1/CDK2/ANAPC2/PIK3R2/ANAPC1/AKT3/GNAI2/PRKACA/ADCY1/AKT1/CDC25B/ADCY3/ADCY6/MAD2L2/CCNB2/HSP90AB1/MAPK12/PKMYT1/PLK1/CCNA2/HSP90AA1/CCNB1"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",164,0.408105471675399,1.43256871495162,0.00640606520238781,0.0452842540168794,0.0367389583294837,3019,"tags=34%, list=22%, signal=27%","EPOR/SLC7A11/GYPC/MXI1/ABCG2/SDCBP/BACH1/P4HA2/UROD/CIR1/BLVRB/ATG4A/GCLM/CDR2/XK/PPP2R5B/ASNS/OSBP2/SLC11A2/ELL2/HAGH/HEBP1/CLCN3/TSPAN5/SLC10A3/MGST3/ICAM4/SIDT2/AGPAT4/BPGM/HTRA2/GCLC/TNRC6B/GLRX5/PICALM/SELENBP1/SNCA/OPTN/KHNYN/RHCE/TRAK2/RIOK3/CAST/SLC25A38/MKRN1/SLC6A9/LMO2/ABCB6/ARL2BP/AQP3/MARCHF8/LAMP2/HTATIP2/EPB41/FOXJ2/KDM7A"
