"gene_id","gene_name","gene_biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000011243","AKAP8L","protein_coding",362.256126077841,-0.0202121936209551,0.0885185771023047,-0.245295962621638,0.80622727763874,0.882342380640011
"ENSG00000126247","CAPNS1","protein_coding",1196.04946172373,0.0177535453434669,0.074221003299329,0.244925631953766,0.806514014602802,0.882472543753964
"ENSG00000271833","","lncRNA",18.6475456544373,-0.0392543573605232,0.239964385686867,-0.245038472947861,0.806426642133218,0.882472543753964
"ENSG00000276418","","protein_coding",107.656389941597,-0.0307682578423944,0.140371536344088,-0.244989271722155,0.806464738209206,0.882472543753964
"ENSG00000131732","ZCCHC9","protein_coding",334.765129481496,0.0212420520078468,0.0921498196565696,0.244145644905406,0.807118022395198,0.882827304445996
"ENSG00000161642","ZNF385A","protein_coding",163.713607728311,0.0278884072006676,0.119414794719137,0.24417096923327,0.807098409887369,0.882827304445996
"ENSG00000172460","PRSS30P","transcribed_unitary_pseudogene",21.5836276230731,0.0389399976854442,0.230782295496011,0.244172175192479,0.807097475931375,0.882827304445996
"ENSG00000188785","ZNF548","protein_coding",35.530528776926,0.0390917306190985,0.207330291945901,0.244284402848389,0.807010562344685,0.882827304445996
"ENSG00000297660","","lncRNA",8.00925308529684,-0.0339705778563822,0.281048663813482,-0.244154991811752,0.807110783639152,0.882827304445996
"ENSG00000197024","ZNF398","protein_coding",228.3905890496,0.0247079493480121,0.107249717475755,0.243375134950348,0.807714804244569,0.883418819172725
"ENSG00000136044","APPL2","protein_coding",71.6241461513765,0.0343874268661843,0.163288125183223,0.243159394414598,0.8078819214887,0.883494856786472
"ENSG00000198382","UVRAG","protein_coding",75.5401765271926,-0.0343925588622399,0.157326561576607,-0.243140802376933,0.807896323690082,0.883494856786472
"ENSG00000135926","TMBIM1","protein_coding",27.5692236029611,0.0393146540217975,0.217676692539908,0.242545024546298,0.80835787356679,0.883877065026214
"ENSG00000232859","LYRM9","protein_coding",15.9035343415769,-0.0386036404706791,0.24464928926502,-0.242548263279237,0.80835536433563,0.883877065026214
"ENSG00000221083","","snoRNA",8.39396191109358,0.0353487180797769,0.27657088695639,0.242151921645289,0.808662447439887,0.884148817273672
"ENSG00000116329","OPRD1","protein_coding",11.4302720432162,0.0365658628892746,0.269061748357149,0.241958677161206,0.80881218279042,0.884251251325928
"ENSG00000116874","WARS2","protein_coding",169.257339991182,0.0277041859615026,0.123697092562493,0.241445798810911,0.809209620149412,0.884563166153764
"ENSG00000172037","LAMB2","protein_coding",33.7069368384577,-0.0380736391264055,0.205700203114845,-0.241491010812127,0.809174582691431,0.884563166153764
"ENSG00000070182","SPTB","protein_coding",15.9021660178522,-0.038027590364897,0.248994836601915,-0.241178866261615,0.809416489787206,0.884728000510791
"ENSG00000178882","RFLNA","protein_coding",9.13431414480158,0.0364338666820849,0.270877061180578,0.241022424608283,0.809537736449757,0.884799228816614
"ENSG00000002330","BAD","protein_coding",299.734976074388,0.0233976388883937,0.102202125826186,0.240723720218519,0.809769253413116,0.884990960868574
"ENSG00000267627","","lncRNA",8.97383164980815,-0.0351089465997887,0.27342280274021,-0.240273093028167,0.810118552754513,0.885311380952272
"ENSG00000304841","","lncRNA",9.90029412516874,-0.0354733851883276,0.269792374229409,-0.239981825023428,0.810344346480935,0.885496796954544
"ENSG00000099256","PRTFDC1","protein_coding",141.831692354234,-0.0270381175424728,0.123356485165598,-0.239879127202028,0.810423962572975,0.885522463987384
"ENSG00000173418","NAA20","protein_coding",447.534921457655,-0.0186240916348017,0.0846031839501106,-0.239725645145756,0.810542952604055,0.885591147038378
"ENSG00000088756","ARHGAP28","protein_coding",23.5219806336059,0.0386462042472383,0.231994546849924,0.239425052220752,0.810776005957187,0.88578443639544
"ENSG00000110719","TCIRG1","protein_coding",11.5083786143348,-0.0362189486977006,0.264137579735047,-0.23920358218103,0.810947725107235,0.885813939412352
"ENSG00000114626","ABTB1","protein_coding",15.0995002538059,-0.037471096733868,0.25064833518697,-0.239172986684555,0.810971448366103,0.885813939412352
"ENSG00000152229","PSTPIP2","protein_coding",88.0447397887891,0.032514256973021,0.153862718022497,0.239243828415521,0.810916519084794,0.885813939412352
"ENSG00000128683","GAD1","protein_coding",70.7673349831845,0.0341557093130483,0.165536990325675,0.238736274903677,0.811310086612982,0.885942947455861
"ENSG00000155463","OXA1L","protein_coding",447.705059866013,0.0201077692769332,0.0872885237166847,0.238926324901596,0.811162712309083,0.885942947455861
"ENSG00000163694","RBM47","protein_coding",35.946013026082,-0.0375186760223957,0.204613077923469,-0.238731005540905,0.811314172836552,0.885942947455861
"ENSG00000196705","ZNF431","protein_coding",88.4152198903641,0.0333031250239543,0.159400742175564,0.238854292777039,0.811218568845352,0.885942947455861
"ENSG00000075391","RASAL2","protein_coding",119.13959746328,-0.0292996133465139,0.139675755865493,-0.238568376473262,0.811440289043305,0.885980553257095
"ENSG00000099974","DDTL","protein_coding",68.6967941691032,0.033757623614767,0.16332684532541,0.238396944941106,0.811573236716203,0.885980553257095
"ENSG00000143882","ATP6V1C2","protein_coding",9.32962980801311,0.0356290036538908,0.271621558727495,0.238487781011845,0.811502791331231,0.885980553257095
"ENSG00000269906","","lncRNA",15.5305608361914,0.0382073537804005,0.251136883335544,0.238444406114485,0.811536429334596,0.885980553257095
"ENSG00000152683","SLC30A6","protein_coding",163.931568096705,0.0269561978510321,0.121401587208126,0.238181416390494,0.811740389984362,0.886101718175
"ENSG00000090097","PCBP4","protein_coding",96.5362723181178,0.0318300286364969,0.150132816106689,0.237759009680436,0.812068012587916,0.88639802370275
"ENSG00000089639","GMIP","protein_coding",11.4855726063528,0.0368043538506754,0.263765490758274,0.237624787439263,0.81217212350796,0.886450335011074
"ENSG00000197147","LRRC8B","protein_coding",134.119916333192,0.0286162403648813,0.131243728406408,0.237004473751094,0.812653319576537,0.886914182551122
"ENSG00000080561","MID2","protein_coding",83.4193728239529,-0.0323724995040357,0.159252581948741,-0.236900914162805,0.812733660774232,0.886940510896801
"ENSG00000310306","","lncRNA",8.47775350936812,-0.0342068432033895,0.275259529862708,-0.236694997445361,0.812893416160978,0.887053494727607
"ENSG00000147255","IGSF1","protein_coding",11.3771793399538,0.0363869584172107,0.264527406008022,0.236373994966792,0.813142473514122,0.887263905154734
