"gene_id","gene_name","gene_biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000104267","CA2","protein_coding",341.177614211091,-1.01772731196916,0.102863164331193,-10.1312946557644,4.01300439658835e-24,2.14620916491439e-22
"ENSG00000099337","KCNK6","protein_coding",76.2189258852314,2.60521084415675,0.264103565807917,10.0810995207436,6.69724386213691e-24,3.56967623016669e-22
"ENSG00000116717","GADD45A","protein_coding",271.04261622516,1.19469514974777,0.121525746961364,10.0640606914699,7.96439388869624e-24,4.21658531483089e-22
"ENSG00000237149","ZNF503-AS2","lncRNA",157.995272461056,-1.30428025168827,0.133119411681103,-10.0457691358006,9.58966272812074e-24,5.0432036287187e-22
"ENSG00000187601","MAGEH1","protein_coding",158.118837396293,1.415938568999,0.14492738475971,10.0210865929469,1.23141579746036e-23,6.41189671172676e-22
"ENSG00000204178","MACO1","protein_coding",293.993546113203,1.08661130317231,0.110969289812303,10.0154871559628,1.30318286486399e-23,6.74108723244565e-22
"ENSG00000139637","MYG1","protein_coding",316.053261145108,1.04019608539136,0.106716306456331,9.98554446109931,1.76330352926305e-23,9.03235057830624e-22
"ENSG00000186868","MAPT","protein_coding",186.16806367104,1.42904304306614,0.147109599223046,9.98437540212916,1.78421207819051e-23,9.10987506718825e-22
"ENSG00000118777","ABCG2","protein_coding",76.9452808716278,2.37960668372887,0.244772989973409,9.97028953058619,2.05628525295378e-23,1.03389950314274e-21
"ENSG00000196284","SUPT3H","protein_coding",212.858016579438,1.21765355998477,0.125432823580863,9.95590508267538,2.37650467096879e-23,1.19028933948808e-21
"ENSG00000196507","TCEAL3","protein_coding",121.291146913534,1.62613465557352,0.167633492454144,9.94749010981442,2.58623553367054e-23,1.29123538021266e-21
"ENSG00000153234","NR4A2","protein_coding",85.0915893841446,2.22787247444093,0.229630193424715,9.94406449525157,2.67677188818224e-23,1.33222176908048e-21
"ENSG00000110330","BIRC2","protein_coding",355.63873435147,1.01545805315782,0.105039391076094,9.89531809989073,4.36221389561466e-23,2.15070776972227e-21
"ENSG00000088970","KIZ","protein_coding",203.821885932808,1.28009772334563,0.133345510749225,9.84140176969436,7.46631953787375e-23,3.63568281941464e-21
"ENSG00000163328","GPR155","protein_coding",165.261545638235,1.54655345927859,0.161611735071597,9.8281556087997,8.51641602623697e-23,4.13426140449048e-21
"ENSG00000105829","BET1","protein_coding",335.51141721911,1.02029176798798,0.106306873034438,9.82351852380303,8.91755193628577e-23,4.31571217480922e-21
"ENSG00000116711","PLA2G4A","protein_coding",140.046462983675,1.57723390605699,0.165286015459499,9.79843763725593,1.14340454829428e-22,5.5166646967703e-21
"ENSG00000081803","CADPS2","protein_coding",148.427586436837,1.50969501584217,0.160329322780256,9.68091898098247,3.63434291674785e-22,1.72189273866459e-20
"ENSG00000164128","NPY1R","protein_coding",64.0011967594959,2.63682102943543,0.279694894922578,9.64222082396149,5.30281122699836e-22,2.49738664860756e-20
"ENSG00000145088","EAF2","protein_coding",125.340606987426,1.56732236930353,0.167950126704464,9.58470145429092,9.27254207049483e-22,4.30342526355159e-20
"ENSG00000134262","AP4B1","protein_coding",170.130852902859,1.27109294989454,0.136691790043444,9.55184859517347,1.27402346753661e-21,5.87727141734653e-20
"ENSG00000106733","NMRK1","protein_coding",128.714057428425,1.57139930002982,0.169167574996411,9.54515591802944,1.35903017641852e-21,6.25114259281487e-20
"ENSG00000135709","KIAA0513","protein_coding",97.1637597527462,1.96952126675426,0.212940794558913,9.50068383506292,2.08516439929359e-21,9.50798807157659e-20
"ENSG00000187266","EPOR","protein_coding",105.950806437696,1.77415043476011,0.192857667213749,9.47561051906653,2.65205263069548e-21,1.19206365682287e-19
"ENSG00000168701","TMEM208","protein_coding",284.573335266751,1.05189237276371,0.114435060530497,9.45164720520182,3.3353991277397e-21,1.4865138993884e-19
